TeamID,Conference,Name
261,Am. East,Vermont Catamounts
2619,Am. East,Stony Brook Seawolves
42,Am. East,Hartford Hawks
399,Am. East,Albany Great Danes
2378,Am. East,UMBC Retrievers
160,Am. East,New Hampshire Wildcats
2349,Am. East,UMass Lowell River Hawks
311,Am. East,Maine Black Bears
2066,Am. East,Binghamton Bearcats
248,American,Houston Cougars
2132,American,Cincinnati Bearcats
202,American,Tulsa Golden Hurricane
2724,American,Wichita State Shockers
2567,American,SMU Mustangs
235,American,Memphis Tigers
41,American,UConn Huskies
218,American,Temple Owls
2116,American,UCF Knights
151,American,East Carolina Pirates
58,American,South Florida Bulls
2655,American,Tulane Green Wave
2168,A 10,Dayton Flyers
227,A 10,Rhode Island Rams
179,A 10,St. Bonaventure Bonnies
257,A 10,Richmond Spiders
2184,A 10,Duquesne Dukes
2166,A 10,Davidson Wildcats
139,A 10,Saint Louis Billikens
2670,A 10,VCU Rams
45,A 10,George Washington Colonials
113,A 10,UMass Minutemen
2244,A 10,George Mason Patriots
2325,A 10,La Salle Explorers
2230,A 10,Fordham Rams
2603,A 10,Saint Joseph's Hawks
52,ACC,Florida State Seminoles
150,ACC,Duke Blue Devils
97,ACC,Louisville Cardinals
258,ACC,Virginia Cavaliers
152,ACC,NC State Wolfpack
87,ACC,Notre Dame Fighting Irish
183,ACC,Syracuse Orange
228,ACC,Clemson Tigers
59,ACC,Georgia Tech Yellow Jackets
103,ACC,Boston College Eagles
259,ACC,Virginia Tech Hokies
2390,ACC,Miami Hurricanes
221,ACC,Pittsburgh Panthers
154,ACC,Wake Forest Demon Deacons
153,ACC,North Carolina Tar Heels
2335,ASUN,Liberty Flames
2454,ASUN,North Florida Ospreys
56,ASUN,Stetson Hatters
288,ASUN,Lipscomb Bisons
2453,ASUN,North Alabama Lions
526,ASUN,Florida Gulf Coast Eagles
294,ASUN,Jacksonville Dolphins
2885,ASUN,NJIT Highlanders
338,ASUN,Kennesaw State Owls
2305,Big 12,Kansas Jayhawks
239,Big 12,Baylor Bears
2641,Big 12,Texas Tech Red Raiders
277,Big 12,West Virginia Mountaineers
251,Big 12,Texas Longhorns
201,Big 12,Oklahoma Sooners
2628,Big 12,TCU Horned Frogs
66,Big 12,Iowa State Cyclones
197,Big 12,Oklahoma State Cowboys
2306,Big 12,Kansas State Wildcats
2550,Big East,Seton Hall Pirates
156,Big East,Creighton Bluejays
222,Big East,Villanova Wildcats
2507,Big East,Providence Friars
269,Big East,Marquette Golden Eagles
2086,Big East,Butler Bulldogs
2752,Big East,Xavier Musketeers
46,Big East,Georgetown Hoyas
2599,Big East,St. John's Red Storm
305,Big East,DePaul Blue Demons
149,Big Sky,Montana Grizzlies
331,Big Sky,Eastern Washington Eagles
2458,Big Sky,Northern Colorado Bears
2464,Big Sky,Northern Arizona Lumberjacks
147,Big Sky,Montana State Bobcats
2502,Big Sky,Portland State Vikings
2692,Big Sky,Weber State Wildcats
253,Big Sky,Southern Utah Thunderbirds
16,Big Sky,Sacramento State Hornets
304,Big Sky,Idaho State Bengals
70,Big Sky,Idaho Vandals
2515,Big South,Radford Highlanders
2737,Big South,Winthrop Eagles
2241,Big South,Gardner-Webb Bulldogs
2261,Big South,Hampton Pirates
2344,Big South,Longwood Lancers
2427,Big South,UNC Asheville Bulldogs
2127,Big South,Charleston Southern Buccaneers
2272,Big South,High Point Panthers
2908,Big South,South Carolina Upstate Spartans
2506,Big South,Presbyterian Blue Hose
2097,Big South,Campbell Fighting Camels
120,Big Ten,Maryland Terrapins
213,Big Ten,Penn State Nittany Lions
2294,Big Ten,Iowa Hawkeyes
127,Big Ten,Michigan State Spartans
275,Big Ten,Wisconsin Badgers
356,Big Ten,Illinois Fighting Illini
130,Big Ten,Michigan Wolverines
164,Big Ten,Rutgers Scarlet Knights
84,Big Ten,Indiana Hoosiers
194,Big Ten,Ohio State Buckeyes
135,Big Ten,Minnesota Golden Gophers
2509,Big Ten,Purdue Boilermakers
158,Big Ten,Nebraska Cornhuskers
77,Big Ten,Northwestern Wildcats
300,Big West,UC Irvine Anteaters
2540,Big West,UC Santa Barbara Gauchos
302,Big West,UC Davis Aggies
2463,Big West,CSU Northridge Matadors
62,Big West,Hawai'i Rainbow Warriors
2239,Big West,CSU Fullerton Titans
299,Big West,Long Beach State 49ers
27,Big West,UC Riverside Highlanders
13,Big West,Cal Poly Mustangs
2275,CAA,Hofstra Pride
2729,CAA,William & Mary Tribe
48,CAA,Delaware Blue Hens
119,CAA,Towson Tigers
232,CAA,Charleston Cougars
111,CAA,Northeastern Huskies
2210,CAA,Elon Phoenix
2182,CAA,Drexel Dragons
350,CAA,UNC Wilmington Seahawks
256,CAA,James Madison Dukes
249,C-USA,North Texas Mean Green
98,C-USA,Western Kentucky Hilltoppers
2348,C-USA,Louisiana Tech Bulldogs
2429,C-USA,Charlotte 49ers
2229,C-USA,Florida International Panthers
276,C-USA,Marshall Thundering Herd
5,C-USA,UAB Blazers
295,C-USA,Old Dominion Monarchs
2226,C-USA,Florida Atlantic Owls
2636,C-USA,UTSA Roadrunners
2638,C-USA,UTEP Miners
2572,C-USA,Southern Miss Golden Eagles
242,C-USA,Rice Owls
2393,C-USA,Middle Tennessee Blue Raiders
2750,Horizon,Wright State Raiders
94,Horizon,Northern Kentucky Norse
2739,Horizon,Green Bay Phoenix
2754,Horizon,Youngstown St Penguins
82,Horizon,UIC Flames
270,Horizon,Milwaukee Panthers
2473,Horizon,Oakland Golden Grizzlies
325,Horizon,Cleveland State Vikings
2174,Horizon,Detroit Mercy Titans
85,Horizon,IUPUI Jaguars
43,Ivy,Yale Bulldogs
108,Ivy,Harvard Crimson
163,Ivy,Princeton Tigers
225,Ivy,Brown Bears
219,Ivy,Pennsylvania Quakers
159,Ivy,Dartmouth Big Green
172,Ivy,Cornell Big Red
171,Ivy,Columbia Lions
2612,MAAC,Saint Peter's Peacocks
2561,MAAC,Siena Saints
2405,MAAC,Monmouth Hawks
2520,MAAC,Rider Broncs
314,MAAC,Iona Gaels
